SiteID	TAXANAME	Count
AA1	MENETUS	1
AA1	HIRUDINEA	101
AA1	HIRUDINIDAE	249
AA1	ERPOBDELLIDAE	284
AA1	MOOREOBDELLA MICROSTOMA	175
AA1	GLOSSIPHONIIDAE	133
AA1	GLOSSIPHONIA COMPLANATA	32
AA1	PLACOBDELLA SP.	224
AA1	HELOBDELLA SP.	275
AA1	HELOBDELLA STAGNALIS	4
AA1	OLIGOCHAETA	116
AA1	BRANCHIOBDELLIDA	77
AA1	LUMBRICINA	2
AA1	TUBIFICIDAE	223
AA1	ACALYPTONOTUS SP.	177
AA1	UTAXATAX SP.	264
AA1	ARRENURUS SP.	94
AA1	ATURIDAE	133
AA1	EYLAIS SP.	9
AA1	HYDRACHNA SP.	175
AA1	HYDRODROMA SP.	131
AA1	HYDROVOLZIA SP.	55
AA1	HYDRYPHANTIDAE	52
AA1	HYDRYPHANTES SP.	72
AA1	HYGROBATIDAE	271
AA1	ATRACTIDES SP.	86
AA1	HYGROBATES SP.	76
AA1	ESTELLOXUS SP.	248
AA1	LEBERTIA SP.	7
AA1	LIMNESIIDAE	83
AA1	LIMNESIA SP.	20
AA1	TYRRELLIA SP.	272
AA1	LIMNOCHARES SP.	105
AA1	MIDEOPSIS SP.	90
AA1	STYGOMOMONIA SP.	171
AA1	NAUTARACHNA SP.	209
AA1	OXUS SP.	262
AA1	PIONIDAE	126
AA1	FORELIA SP.	15
AA1	PIONA SP.	96
AA1	PROTZIA SP.	66
AA1	WANDESIA SP.	218
AA1	SPERCHON SP.	243
AA1	SPERCHONOPSIS SP.	291
AA1	TORRENTICOLIDAE	102
AA1	TESTUDACARUS SP.	193
AA1	TORRENTICOLA SP.	2
AA3	UNIONICOLIDAE	227
AA3	NAJADICOLA SP.	224
AA3	NEUMANIA SP.	206
AA3	UNIONICOLA SP.	293
AA3	LYNCEUS SP.	205
AA3	DECAPODA	27
AA3	PACIFASTACUS SP.	292
AA3	PACIFASTACUS LENIUSCULUS	253
AA3	CAMBARIDAE	188
AA3	ORCONECTES SP.	156
AA3	ORCONECTES VIRILIS	170
AA3	PROCAMBARUS SP.	237
AA3	SYNCARIS SP.	178
AA3	AMPHIPODA	212
AA3	ANISOGAMMARUS SP.	222
AA3	COROPHIUM SP.	68
AA3	CRANGONYX SP.	66
AA3	STYGOBROMUS SP.	157
AA3	GAMMARUS SP.	281
AA3	HYALELLA SP.	202
AA3	ISOPODA	43
AA3	CAECIDOTEA SP.	173
AA3	CYCLOPOIDA	202
AA3	OSTRACODA	159
AA3	PODOCOPIDA	105
AA3	AMPHIZOA SP.	281
AA3	DYTISCIDAE	103
AA3	ACILIUS SP.	189
AA3	AGABETES SP.	112
AA3	AGABINUS SP.	290
AA3	AGABUS SP.	208
AA3	COLYMBETES SP.	276
AA3	DYTISCUS SP.	179
AA3	HYDROPORUS SP.	78
